surrogate_key,mobility_id,Metro_area,Subregion_1,Subregion_2,Date,Province,Retail_and_recreation,Grocery_and_pharmacy,Parks,Transit_stations,Workplaces,Residential
331,50786,,Ontario,Halton,2020-11-27,ON,-14.0,6.0,24.0,-49.0,-45.0,18.0
332,50787,,Ontario,Halton,2020-11-28,ON,-12.0,14.0,116.0,-19.0,-5.0,9.0
333,50788,,Ontario,Halton,2020-11-29,ON,-12.0,6.0,97.0,-20.0,-10.0,7.0
334,50789,,Ontario,Halton,2020-11-30,ON,-22.0,0.0,-32.0,-59.0,-45.0,19.0
335,50790,,Ontario,Halton,2020-12-01,ON,-31.0,-8.0,-1.0,-59.0,-46.0,20.0
336,50791,,Ontario,Halton,2020-12-02,ON,-18.0,3.0,8.0,-54.0,-44.0,19.0
337,50792,,Ontario,Halton,2020-12-03,ON,-16.0,6.0,17.0,-54.0,-41.0,19.0
338,50793,,Ontario,Halton,2020-12-04,ON,-20.0,2.0,1.0,-48.0,-40.0,19.0
339,50794,,Ontario,Halton,2020-12-05,ON,-14.0,13.0,70.0,-15.0,-5.0,9.0
340,50795,,Ontario,Halton,2020-12-06,ON,-15.0,6.0,41.0,-11.0,-12.0,8.0
341,50796,,Ontario,Halton,2020-12-07,ON,-20.0,4.0,16.0,-55.0,-43.0,18.0
342,50797,,Ontario,Halton,2020-12-08,ON,-21.0,3.0,25.0,-56.0,-42.0,18.0
343,50798,,Ontario,Halton,2020-12-09,ON,-18.0,2.0,1.0,-54.0,-43.0,19.0
344,50799,,Ontario,Halton,2020-12-10,ON,-15.0,8.0,39.0,-53.0,-42.0,18.0
345,50800,,Ontario,Halton,2020-12-11,ON,-15.0,9.0,60.0,-47.0,-41.0,18.0
346,50801,,Ontario,Halton,2020-12-12,ON,-19.0,8.0,0.0,-21.0,-8.0,11.0
347,50802,,Ontario,Halton,2020-12-13,ON,-12.0,10.0,40.0,-16.0,-11.0,8.0
348,50803,,Ontario,Halton,2020-12-14,ON,-17.0,9.0,15.0,-54.0,-44.0,18.0
349,50804,,Ontario,Halton,2020-12-15,ON,-16.0,12.0,14.0,-53.0,-43.0,18.0
350,50805,,Ontario,Halton,2020-12-16,ON,-15.0,6.0,-9.0,-56.0,-45.0,20.0
351,50806,,Ontario,Halton,2020-12-17,ON,-11.0,13.0,5.0,-51.0,-43.0,19.0
352,50807,,Ontario,Halton,2020-12-18,ON,-12.0,13.0,26.0,-47.0,-41.0,18.0
353,50808,,Ontario,Halton,2020-12-19,ON,-12.0,20.0,49.0,-15.0,-7.0,10.0
354,50809,,Ontario,Halton,2020-12-20,ON,-8.0,16.0,32.0,-8.0,-11.0,8.0
355,50810,,Ontario,Halton,2020-12-21,ON,3.0,40.0,51.0,-50.0,-52.0,18.0
356,50811,,Ontario,Halton,2020-12-22,ON,5.0,46.0,45.0,-50.0,-52.0,18.0
357,50812,,Ontario,Halton,2020-12-23,ON,15.0,63.0,71.0,-47.0,-54.0,18.0
358,50813,,Ontario,Halton,2020-12-24,ON,-14.0,46.0,3.0,-57.0,-68.0,24.0
359,50814,,Ontario,Halton,2020-12-25,ON,-87.0,-79.0,25.0,-85.0,-89.0,32.0
360,50815,,Ontario,Halton,2020-12-26,ON,-69.0,-48.0,52.0,-64.0,-47.0,16.0
361,50816,,Ontario,Halton,2020-12-27,ON,-54.0,-21.0,63.0,-53.0,-29.0,11.0
362,50817,,Ontario,Halton,2020-12-28,ON,-49.0,-8.0,43.0,-77.0,-77.0,29.0
363,50818,,Ontario,Halton,2020-12-29,ON,-42.0,2.0,94.0,-71.0,-66.0,25.0
364,50819,,Ontario,Halton,2020-12-30,ON,-40.0,8.0,-11.0,-72.0,-67.0,27.0
365,50820,,Ontario,Halton,2020-12-31,ON,-35.0,26.0,86.0,-73.0,-70.0,26.0
366,51469,,Ontario,Peel,2020-09-01,ON,-15.0,1.0,85.0,-55.0,-43.0,13.0
367,51470,,Ontario,Peel,2020-09-02,ON,-15.0,-1.0,71.0,-57.0,-44.0,13.0
368,51471,,Ontario,Peel,2020-09-03,ON,-13.0,2.0,88.0,-54.0,-43.0,12.0
369,51472,,Ontario,Peel,2020-09-04,ON,-14.0,-1.0,81.0,-54.0,-44.0,12.0
370,51473,,Ontario,Peel,2020-09-05,ON,-20.0,-6.0,90.0,-53.0,-10.0,1.0
371,51474,,Ontario,Peel,2020-09-06,ON,-10.0,-3.0,140.0,-55.0,-12.0,-2.0
372,51475,,Ontario,Peel,2020-09-07,ON,-43.0,-41.0,78.0,-71.0,-82.0,23.0
373,51476,,Ontario,Peel,2020-09-08,ON,-13.0,9.0,32.0,-55.0,-45.0,13.0
374,51477,,Ontario,Peel,2020-09-09,ON,-17.0,-2.0,45.0,-57.0,-44.0,13.0
375,51478,,Ontario,Peel,2020-09-10,ON,-15.0,2.0,56.0,-56.0,-43.0,13.0
376,51479,,Ontario,Peel,2020-09-11,ON,-17.0,-6.0,70.0,-55.0,-41.0,12.0
377,51480,,Ontario,Peel,2020-09-12,ON,-16.0,-4.0,120.0,-49.0,-2.0,3.0
378,51481,,Ontario,Peel,2020-09-13,ON,-16.0,-7.0,95.0,-55.0,-6.0,3.0
379,51482,,Ontario,Peel,2020-09-14,ON,-18.0,-6.0,65.0,-57.0,-41.0,14.0
380,51483,,Ontario,Peel,2020-09-15,ON,-17.0,-3.0,63.0,-56.0,-39.0,13.0
381,51484,,Ontario,Peel,2020-09-16,ON,-17.0,-4.0,77.0,-57.0,-41.0,13.0
382,51485,,Ontario,Peel,2020-09-17,ON,-16.0,-2.0,66.0,-55.0,-40.0,13.0
383,51486,,Ontario,Peel,2020-09-18,ON,-18.0,-8.0,46.0,-55.0,-39.0,13.0
384,51487,,Ontario,Peel,2020-09-19,ON,-17.0,-5.0,83.0,-52.0,-2.0,4.0
385,51488,,Ontario,Peel,2020-09-20,ON,-16.0,-7.0,99.0,-56.0,-4.0,2.0
386,51489,,Ontario,Peel,2020-09-21,ON,-20.0,-8.0,56.0,-58.0,-42.0,14.0
387,51490,,Ontario,Peel,2020-09-22,ON,-20.0,-4.0,55.0,-57.0,-40.0,13.0
388,51491,,Ontario,Peel,2020-09-23,ON,-20.0,-4.0,68.0,-59.0,-40.0,14.0
389,51492,,Ontario,Peel,2020-09-24,ON,-19.0,-3.0,42.0,-58.0,-40.0,14.0
390,51493,,Ontario,Peel,2020-09-25,ON,-20.0,-8.0,57.0,-57.0,-39.0,13.0
391,51494,,Ontario,Peel,2020-09-26,ON,-18.0,-5.0,106.0,-53.0,1.0,3.0
392,51495,,Ontario,Peel,2020-09-27,ON,-16.0,-7.0,110.0,-57.0,-3.0,2.0
393,51496,,Ontario,Peel,2020-09-28,ON,-23.0,-8.0,43.0,-59.0,-41.0,14.0
394,51497,,Ontario,Peel,2020-09-29,ON,-21.0,-3.0,35.0,-58.0,-39.0,14.0
395,51498,,Ontario,Peel,2020-09-30,ON,-21.0,-5.0,9.0,-59.0,-40.0,14.0
396,51499,,Ontario,Peel,2020-10-01,ON,-18.0,2.0,28.0,-57.0,-38.0,14.0
397,51500,,Ontario,Peel,2020-10-02,ON,-21.0,-8.0,13.0,-57.0,-38.0,14.0
398,51501,,Ontario,Peel,2020-10-03,ON,-19.0,-6.0,59.0,-53.0,-2.0,5.0
399,51502,,Ontario,Peel,2020-10-04,ON,-22.0,-10.0,-14.0,-60.0,-8.0,5.0
400,51503,,Ontario,Peel,2020-10-05,ON,-21.0,-6.0,34.0,-59.0,-41.0,14.0
401,51504,,Ontario,Peel,2020-10-06,ON,-21.0,-2.0,39.0,-58.0,-39.0,14.0
402,51505,,Ontario,Peel,2020-10-07,ON,-22.0,-5.0,14.0,-61.0,-40.0,15.0
403,51506,,Ontario,Peel,2020-10-08,ON,-19.0,2.0,24.0,-57.0,-39.0,14.0
404,51507,,Ontario,Peel,2020-10-09,ON,-18.0,3.0,46.0,-55.0,-39.0,13.0
405,51508,,Ontario,Peel,2020-10-10,ON,-24.0,-1.0,70.0,-53.0,-5.0,5.0
406,51509,,Ontario,Peel,2020-10-11,ON,-22.0,0.0,51.0,-60.0,-11.0,3.0
407,51510,,Ontario,Peel,2020-10-12,ON,-57.0,-47.0,65.0,-74.0,-82.0,27.0
408,51511,,Ontario,Peel,2020-10-13,ON,-24.0,1.0,46.0,-57.0,-40.0,14.0
409,51512,,Ontario,Peel,2020-10-14,ON,-25.0,-5.0,35.0,-59.0,-40.0,15.0
410,51513,,Ontario,Peel,2020-10-15,ON,-27.0,-8.0,-20.0,-60.0,-40.0,16.0
411,51514,,Ontario,Peel,2020-10-16,ON,-24.0,-6.0,28.0,-57.0,-38.0,15.0
412,51515,,Ontario,Peel,2020-10-17,ON,-23.0,-4.0,75.0,-53.0,-2.0,6.0
413,51516,,Ontario,Peel,2020-10-18,ON,-26.0,-9.0,27.0,-59.0,-9.0,6.0
414,51517,,Ontario,Peel,2020-10-19,ON,-28.0,-12.0,-12.0,-61.0,-42.0,16.0
415,51518,,Ontario,Peel,2020-10-20,ON,-25.0,-3.0,15.0,-59.0,-39.0,15.0
416,51519,,Ontario,Peel,2020-10-21,ON,-26.0,-6.0,11.0,-61.0,-40.0,16.0
417,51520,,Ontario,Peel,2020-10-22,ON,-25.0,-3.0,4.0,-58.0,-39.0,16.0
418,51521,,Ontario,Peel,2020-10-23,ON,-26.0,-9.0,60.0,-56.0,-38.0,15.0
419,51522,,Ontario,Peel,2020-10-24,ON,-24.0,-4.0,30.0,-54.0,-3.0,7.0
420,51523,,Ontario,Peel,2020-10-25,ON,-24.0,-8.0,20.0,-58.0,-9.0,5.0
421,51524,,Ontario,Peel,2020-10-26,ON,-27.0,-10.0,2.0,-60.0,-41.0,16.0
422,51525,,Ontario,Peel,2020-10-27,ON,-29.0,-9.0,-16.0,-60.0,-39.0,15.0
423,51526,,Ontario,Peel,2020-10-28,ON,-24.0,-4.0,21.0,-58.0,-39.0,15.0
424,51527,,Ontario,Peel,2020-10-29,ON,-24.0,-3.0,-10.0,-59.0,-39.0,15.0
425,51528,,Ontario,Peel,2020-10-30,ON,-25.0,-7.0,-11.0,-57.0,-38.0,15.0
426,51529,,Ontario,Peel,2020-10-31,ON,-22.0,-2.0,23.0,-52.0,-2.0,6.0
427,51530,,Ontario,Peel,2020-11-01,ON,-27.0,-9.0,-26.0,-59.0,-11.0,6.0
428,51531,,Ontario,Peel,2020-11-02,ON,-28.0,-11.0,-21.0,-60.0,-41.0,16.0
429,51532,,Ontario,Peel,2020-11-03,ON,-27.0,-6.0,-13.0,-60.0,-39.0,16.0
430,51533,,Ontario,Peel,2020-11-04,ON,-26.0,-8.0,31.0,-59.0,-39.0,15.0
431,51534,,Ontario,Peel,2020-11-05,ON,-25.0,-6.0,18.0,-58.0,-38.0,15.0
432,51535,,Ontario,Peel,2020-11-06,ON,-25.0,-9.0,39.0,-57.0,-38.0,15.0
433,51536,,Ontario,Peel,2020-11-07,ON,-20.0,-5.0,86.0,-51.0,-1.0,5.0
434,51537,,Ontario,Peel,2020-11-08,ON,-19.0,-8.0,97.0,-56.0,-6.0,4.0
435,51538,,Ontario,Peel,2020-11-09,ON,-26.0,-11.0,33.0,-60.0,-40.0,15.0
436,51539,,Ontario,Peel,2020-11-10,ON,-24.0,-4.0,46.0,-58.0,-38.0,15.0
437,51540,,Ontario,Peel,2020-11-11,ON,-23.0,-3.0,16.0,-61.0,-41.0,16.0
438,51541,,Ontario,Peel,2020-11-12,ON,-23.0,-1.0,8.0,-60.0,-39.0,16.0
439,51542,,Ontario,Peel,2020-11-13,ON,-23.0,-5.0,-9.0,-60.0,-40.0,17.0
440,51543,,Ontario,Peel,2020-11-14,ON,-23.0,-1.0,22.0,-54.0,-7.0,8.0
441,51544,,Ontario,Peel,2020-11-15,ON,-34.0,-21.0,-40.0,-65.0,-14.0,8.0
442,51545,,Ontario,Peel,2020-11-16,ON,-29.0,-13.0,-20.0,-63.0,-43.0,17.0
443,51546,,Ontario,Peel,2020-11-17,ON,-30.0,-11.0,-25.0,-62.0,-40.0,17.0
444,51547,,Ontario,Peel,2020-11-18,ON,-28.0,-11.0,-22.0,-64.0,-40.0,17.0
445,51548,,Ontario,Peel,2020-11-19,ON,-24.0,-5.0,-8.0,-61.0,-40.0,16.0
446,51549,,Ontario,Peel,2020-11-20,ON,-23.0,-5.0,22.0,-59.0,-39.0,16.0
447,51550,,Ontario,Peel,2020-11-21,ON,-20.0,0.0,0.0,-55.0,-2.0,7.0
448,51551,,Ontario,Peel,2020-11-22,ON,-35.0,-26.0,-39.0,-64.0,-13.0,8.0
449,51552,,Ontario,Peel,2020-11-23,ON,-40.0,-21.0,-29.0,-66.0,-44.0,19.0
450,51553,,Ontario,Peel,2020-11-24,ON,-38.0,-15.0,-28.0,-65.0,-42.0,18.0
451,51554,,Ontario,Peel,2020-11-25,ON,-37.0,-18.0,-32.0,-66.0,-42.0,18.0
452,51555,,Ontario,Peel,2020-11-26,ON,-32.0,-8.0,-13.0,-64.0,-42.0,17.0
453,51556,,Ontario,Peel,2020-11-27,ON,-33.0,-14.0,-12.0,-62.0,-41.0,18.0
454,51557,,Ontario,Peel,2020-11-28,ON,-35.0,-13.0,13.0,-58.0,-8.0,9.0
455,51558,,Ontario,Peel,2020-11-29,ON,-36.0,-17.0,28.0,-63.0,-15.0,7.0
456,51559,,Ontario,Peel,2020-11-30,ON,-36.0,-19.0,-42.0,-66.0,-44.0,18.0
457,51560,,Ontario,Peel,2020-12-01,ON,-43.0,-24.0,-37.0,-65.0,-45.0,20.0
458,51561,,Ontario,Peel,2020-12-02,ON,-34.0,-11.0,-20.0,-64.0,-42.0,18.0
459,51562,,Ontario,Peel,2020-12-03,ON,-33.0,-7.0,-21.0,-63.0,-41.0,18.0
460,51563,,Ontario,Peel,2020-12-04,ON,-36.0,-17.0,-28.0,-63.0,-41.0,19.0
461,51564,,Ontario,Peel,2020-12-05,ON,-35.0,-12.0,-15.0,-58.0,-8.0,10.0
462,51565,,Ontario,Peel,2020-12-06,ON,-38.0,-17.0,-5.0,-64.0,-16.0,8.0
463,51566,,Ontario,Peel,2020-12-07,ON,-36.0,-17.0,-24.0,-65.0,-44.0,18.0
464,51567,,Ontario,Peel,2020-12-08,ON,-35.0,-12.0,-22.0,-64.0,-41.0,17.0
465,51568,,Ontario,Peel,2020-12-09,ON,-37.0,-14.0,-29.0,-65.0,-42.0,18.0
466,51569,,Ontario,Peel,2020-12-10,ON,-34.0,-8.0,-15.0,-64.0,-41.0,17.0
467,51570,,Ontario,Peel,2020-12-11,ON,-34.0,-13.0,-3.0,-63.0,-41.0,18.0
468,51571,,Ontario,Peel,2020-12-12,ON,-39.0,-16.0,-33.0,-61.0,-9.0,11.0
469,51572,,Ontario,Peel,2020-12-13,ON,-37.0,-14.0,-11.0,-64.0,-16.0,8.0
470,51573,,Ontario,Peel,2020-12-14,ON,-36.0,-15.0,-28.0,-66.0,-44.0,18.0
471,51574,,Ontario,Peel,2020-12-15,ON,-34.0,-8.0,-26.0,-64.0,-42.0,17.0
472,51575,,Ontario,Peel,2020-12-16,ON,-36.0,-14.0,-38.0,-67.0,-43.0,19.0
473,51576,,Ontario,Peel,2020-12-17,ON,-32.0,-4.0,-29.0,-63.0,-42.0,18.0
474,51577,,Ontario,Peel,2020-12-18,ON,-32.0,-9.0,-15.0,-62.0,-41.0,18.0
475,51578,,Ontario,Peel,2020-12-19,ON,-36.0,-10.0,-19.0,-56.0,-10.0,10.0
476,51579,,Ontario,Peel,2020-12-20,ON,-35.0,-12.0,-10.0,-61.0,-15.0,7.0
477,51580,,Ontario,Peel,2020-12-21,ON,-25.0,3.0,-9.0,-64.0,-49.0,18.0
478,51581,,Ontario,Peel,2020-12-22,ON,-22.0,16.0,-15.0,-63.0,-48.0,17.0
479,51582,,Ontario,Peel,2020-12-23,ON,-15.0,31.0,0.0,-63.0,-49.0,17.0
480,51583,,Ontario,Peel,2020-12-24,ON,-22.0,35.0,-18.0,-68.0,-64.0,23.0
481,51584,,Ontario,Peel,2020-12-25,ON,-80.0,-73.0,-19.0,-84.0,-88.0,35.0
482,51585,,Ontario,Peel,2020-12-26,ON,-59.0,-44.0,-18.0,-69.0,-44.0,16.0
483,51586,,Ontario,Peel,2020-12-27,ON,-47.0,-28.0,3.0,-66.0,-26.0,10.0
484,51587,,Ontario,Peel,2020-12-28,ON,-40.0,-12.0,-18.0,-74.0,-73.0,28.0
485,51588,,Ontario,Peel,2020-12-29,ON,-34.0,-1.0,-4.0,-68.0,-58.0,23.0
486,51589,,Ontario,Peel,2020-12-30,ON,-32.0,3.0,-33.0,-70.0,-59.0,24.0
487,51590,,Ontario,Peel,2020-12-31,ON,-22.0,26.0,5.0,-70.0,-65.0,24.0
488,51854,,Ontario,York,2020-09-01,ON,-14.0,4.0,,-49.0,-49.0,15.0
489,51855,,Ontario,York,2020-09-02,ON,-11.0,4.0,,-52.0,-50.0,16.0
490,51856,,Ontario,York,2020-09-03,ON,-11.0,7.0,,-49.0,-48.0,15.0
491,51857,,Ontario,York,2020-09-04,ON,-13.0,6.0,,-45.0,-47.0,13.0
492,51858,,Ontario,York,2020-09-05,ON,-20.0,0.0,,-24.0,-11.0,2.0
493,51859,,Ontario,York,2020-09-06,ON,-14.0,-1.0,,-30.0,-9.0,0.0
494,51860,,Ontario,York,2020-09-07,ON,-30.0,-21.0,,-69.0,-83.0,23.0
495,51861,,Ontario,York,2020-09-08,ON,-14.0,9.0,,-52.0,-50.0,16.0
496,51862,,Ontario,York,2020-09-09,ON,-13.0,4.0,,-53.0,-49.0,16.0
497,51863,,Ontario,York,2020-09-10,ON,-13.0,5.0,,-50.0,-48.0,16.0
498,51864,,Ontario,York,2020-09-11,ON,-16.0,2.0,163.0,-46.0,-45.0,15.0
499,51865,,Ontario,York,2020-09-12,ON,-16.0,3.0,281.0,-21.0,-3.0,4.0
500,51866,,Ontario,York,2020-09-13,ON,-18.0,-1.0,194.0,-31.0,-4.0,5.0
501,51867,,Ontario,York,2020-09-14,ON,-13.0,1.0,178.0,-52.0,-45.0,15.0
502,51868,,Ontario,York,2020-09-15,ON,-15.0,3.0,151.0,-51.0,-45.0,16.0
503,51869,,Ontario,York,2020-09-16,ON,-14.0,0.0,175.0,-49.0,-46.0,16.0
504,51870,,Ontario,York,2020-09-17,ON,-16.0,5.0,157.0,-50.0,-45.0,16.0
505,51871,,Ontario,York,2020-09-18,ON,-18.0,1.0,119.0,-48.0,-43.0,15.0
506,51872,,Ontario,York,2020-09-19,ON,-18.0,4.0,230.0,-27.0,-3.0,5.0
507,51873,,Ontario,York,2020-09-20,ON,-18.0,-1.0,242.0,-31.0,-3.0,4.0
508,51874,,Ontario,York,2020-09-21,ON,-16.0,0.0,169.0,-51.0,-46.0,16.0
509,51875,,Ontario,York,2020-09-22,ON,-19.0,3.0,153.0,-51.0,-46.0,16.0
510,51876,,Ontario,York,2020-09-23,ON,-17.0,3.0,159.0,-51.0,-45.0,16.0
511,51877,,Ontario,York,2020-09-24,ON,-19.0,4.0,126.0,-52.0,-44.0,16.0
512,51878,,Ontario,York,2020-09-25,ON,-20.0,2.0,139.0,-49.0,-41.0,15.0
513,51879,,Ontario,York,2020-09-26,ON,-19.0,5.0,268.0,-27.0,0.0,4.0
514,51880,,Ontario,York,2020-09-27,ON,-19.0,1.0,239.0,-34.0,-1.0,3.0
515,51881,,Ontario,York,2020-09-28,ON,-21.0,-1.0,157.0,-54.0,-46.0,16.0
516,51882,,Ontario,York,2020-09-29,ON,-20.0,6.0,107.0,-53.0,-44.0,16.0
517,51883,,Ontario,York,2020-09-30,ON,-19.0,3.0,45.0,-56.0,-45.0,17.0
518,51884,,Ontario,York,2020-10-01,ON,-17.0,11.0,110.0,-53.0,-42.0,16.0
519,51885,,Ontario,York,2020-10-02,ON,-22.0,1.0,83.0,-50.0,-41.0,17.0
520,51886,,Ontario,York,2020-10-03,ON,-21.0,2.0,211.0,-30.0,-3.0,6.0
521,51887,,Ontario,York,2020-10-04,ON,-26.0,-4.0,24.0,-45.0,-9.0,7.0
522,51888,,Ontario,York,2020-10-05,ON,-19.0,0.0,141.0,-53.0,-44.0,16.0
523,51889,,Ontario,York,2020-10-06,ON,-21.0,5.0,115.0,-54.0,-45.0,17.0
524,51890,,Ontario,York,2020-10-07,ON,-20.0,2.0,59.0,-57.0,-45.0,18.0
525,51891,,Ontario,York,2020-10-08,ON,-19.0,9.0,85.0,-54.0,-43.0,17.0
526,51892,,Ontario,York,2020-10-09,ON,-19.0,13.0,122.0,-50.0,-42.0,15.0
527,51893,,Ontario,York,2020-10-10,ON,-23.0,9.0,213.0,-33.0,-5.0,6.0
528,51894,,Ontario,York,2020-10-11,ON,-23.0,6.0,204.0,-40.0,-7.0,4.0
529,51895,,Ontario,York,2020-10-12,ON,-45.0,-35.0,201.0,-73.0,-83.0,26.0
530,51896,,Ontario,York,2020-10-13,ON,-21.0,8.0,140.0,-55.0,-45.0,17.0
531,51897,,Ontario,York,2020-10-14,ON,-18.0,5.0,128.0,-55.0,-44.0,18.0
532,51898,,Ontario,York,2020-10-15,ON,-23.0,-1.0,13.0,-59.0,-44.0,19.0
533,51899,,Ontario,York,2020-10-16,ON,-19.0,4.0,97.0,-52.0,-40.0,17.0
534,51900,,Ontario,York,2020-10-17,ON,-17.0,8.0,253.0,-33.0,-1.0,6.0
535,51901,,Ontario,York,2020-10-18,ON,-20.0,-1.0,104.0,-47.0,-5.0,7.0
536,51902,,Ontario,York,2020-10-19,ON,-27.0,-4.0,47.0,-58.0,-45.0,18.0
537,51903,,Ontario,York,2020-10-20,ON,-26.0,3.0,91.0,-57.0,-45.0,18.0
538,51904,,Ontario,York,2020-10-21,ON,-26.0,0.0,72.0,-59.0,-45.0,19.0
539,51905,,Ontario,York,2020-10-22,ON,-26.0,2.0,59.0,-57.0,-43.0,19.0
540,51906,,Ontario,York,2020-10-23,ON,-27.0,0.0,160.0,-51.0,-41.0,17.0
541,51907,,Ontario,York,2020-10-24,ON,-27.0,5.0,142.0,-38.0,-5.0,8.0
542,51908,,Ontario,York,2020-10-25,ON,-29.0,-1.0,127.0,-45.0,-8.0,7.0
543,51909,,Ontario,York,2020-10-26,ON,-26.0,-2.0,62.0,-58.0,-44.0,18.0
544,51910,,Ontario,York,2020-10-27,ON,-30.0,-2.0,15.0,-58.0,-44.0,19.0
545,51911,,Ontario,York,2020-10-28,ON,-23.0,4.0,92.0,-56.0,-44.0,18.0
546,51912,,Ontario,York,2020-10-29,ON,-25.0,4.0,34.0,-58.0,-43.0,19.0
547,51913,,Ontario,York,2020-10-30,ON,-27.0,3.0,22.0,-55.0,-41.0,18.0
548,51914,,Ontario,York,2020-10-31,ON,-26.0,9.0,138.0,-33.0,-5.0,7.0
549,51915,,Ontario,York,2020-11-01,ON,-32.0,-3.0,-2.0,-52.0,-12.0,9.0
550,51916,,Ontario,York,2020-11-02,ON,-28.0,-6.0,13.0,-60.0,-44.0,19.0
551,51917,,Ontario,York,2020-11-03,ON,-29.0,0.0,31.0,-59.0,-45.0,19.0
552,51918,,Ontario,York,2020-11-04,ON,-25.0,0.0,107.0,-56.0,-44.0,18.0
553,51919,,Ontario,York,2020-11-05,ON,-26.0,1.0,88.0,-57.0,-42.0,18.0
554,51920,,Ontario,York,2020-11-06,ON,-27.0,0.0,114.0,-55.0,-40.0,18.0
555,51921,,Ontario,York,2020-11-07,ON,-20.0,3.0,265.0,-35.0,-2.0,6.0
556,51922,,Ontario,York,2020-11-08,ON,-21.0,0.0,268.0,-41.0,-5.0,5.0
557,51923,,Ontario,York,2020-11-09,ON,-21.0,-2.0,140.0,-56.0,-43.0,17.0
558,51924,,Ontario,York,2020-11-10,ON,-22.0,2.0,143.0,-56.0,-43.0,17.0
559,51925,,Ontario,York,2020-11-11,ON,-17.0,4.0,88.0,-58.0,-45.0,18.0
560,51926,,Ontario,York,2020-11-12,ON,-22.0,4.0,70.0,-58.0,-42.0,18.0
561,51927,,Ontario,York,2020-11-13,ON,-23.0,0.0,38.0,-57.0,-43.0,19.0
562,51928,,Ontario,York,2020-11-14,ON,-22.0,4.0,140.0,-41.0,-3.0,8.0
563,51929,,Ontario,York,2020-11-15,ON,-33.0,-13.0,-20.0,-57.0,-12.0,10.0
564,51930,,Ontario,York,2020-11-16,ON,-25.0,-5.0,18.0,-62.0,-44.0,19.0
565,51931,,Ontario,York,2020-11-17,ON,-28.0,-4.0,13.0,-62.0,-44.0,20.0
566,51932,,Ontario,York,2020-11-18,ON,-26.0,-3.0,10.0,-61.0,-45.0,20.0
567,51933,,Ontario,York,2020-11-19,ON,-23.0,2.0,49.0,-60.0,-42.0,19.0
568,51934,,Ontario,York,2020-11-20,ON,-22.0,2.0,89.0,-56.0,-41.0,18.0
569,51935,,Ontario,York,2020-11-21,ON,-22.0,7.0,66.0,-42.0,-4.0,9.0
570,51936,,Ontario,York,2020-11-22,ON,-39.0,-21.0,2.0,-57.0,-16.0,11.0
571,51937,,Ontario,York,2020-11-23,ON,-24.0,-5.0,21.0,-62.0,-46.0,20.0
572,51938,,Ontario,York,2020-11-24,ON,-24.0,-1.0,7.0,-63.0,-45.0,20.0
573,51939,,Ontario,York,2020-11-25,ON,-22.0,-2.0,1.0,-62.0,-45.0,21.0
574,51940,,Ontario,York,2020-11-26,ON,-19.0,6.0,26.0,-60.0,-43.0,20.0
575,51941,,Ontario,York,2020-11-27,ON,-20.0,3.0,24.0,-58.0,-42.0,19.0
576,51942,,Ontario,York,2020-11-28,ON,-20.0,9.0,116.0,-40.0,-5.0,9.0
577,51943,,Ontario,York,2020-11-29,ON,-22.0,1.0,134.0,-47.0,-11.0,8.0
578,51944,,Ontario,York,2020-11-30,ON,-22.0,-4.0,-12.0,-63.0,-45.0,20.0
579,51945,,Ontario,York,2020-12-01,ON,-34.0,-12.0,1.0,-64.0,-48.0,22.0
580,51946,,Ontario,York,2020-12-02,ON,-20.0,4.0,20.0,-60.0,-45.0,20.0
581,51947,,Ontario,York,2020-12-03,ON,-21.0,7.0,25.0,-60.0,-43.0,20.0
582,51948,,Ontario,York,2020-12-04,ON,-25.0,-2.0,0.0,-60.0,-42.0,21.0
583,51949,,Ontario,York,2020-12-05,ON,-21.0,8.0,50.0,-42.0,-7.0,10.0
584,51950,,Ontario,York,2020-12-06,ON,-23.0,2.0,59.0,-52.0,-13.0,9.0
585,51951,,Ontario,York,2020-12-07,ON,-20.0,-2.0,19.0,-61.0,-45.0,19.0
586,51952,,Ontario,York,2020-12-08,ON,-23.0,2.0,18.0,-61.0,-44.0,20.0
587,51953,,Ontario,York,2020-12-09,ON,-25.0,-5.0,10.0,-60.0,-46.0,21.0
588,51954,,Ontario,York,2020-12-10,ON,-19.0,7.0,19.0,-59.0,-43.0,20.0
589,51955,,Ontario,York,2020-12-11,ON,-19.0,10.0,27.0,-57.0,-41.0,19.0
590,51956,,Ontario,York,2020-12-12,ON,-19.0,10.0,5.0,-42.0,-7.0,11.0
591,51957,,Ontario,York,2020-12-13,ON,-16.0,9.0,39.0,-47.0,-9.0,9.0
592,51958,,Ontario,York,2020-12-14,ON,-36.0,-5.0,17.0,-64.0,-46.0,20.0
593,51959,,Ontario,York,2020-12-15,ON,-36.0,-2.0,8.0,-63.0,-47.0,21.0
594,51960,,Ontario,York,2020-12-16,ON,-36.0,-5.0,-15.0,-65.0,-47.0,22.0
595,51961,,Ontario,York,2020-12-17,ON,-33.0,6.0,9.0,-63.0,-45.0,21.0
596,51962,,Ontario,York,2020-12-18,ON,-35.0,1.0,9.0,-61.0,-44.0,21.0
597,51963,,Ontario,York,2020-12-19,ON,-42.0,-3.0,41.0,-49.0,-15.0,12.0
598,51964,,Ontario,York,2020-12-20,ON,-42.0,-6.0,32.0,-57.0,-19.0,11.0
